loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
01:25.7,919,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821285,40.81048931,-73.95994082,50.58844,0.35,141.328125,16,30,415093.7055,0.887115479,0.194473267,-0.652191162,415093.6979,-0.769769136,1.581813292,-2.185653111,415093.6929,0.20315972,0.921921154,-0.136317516,-0.718218029,1.529131413,-2.12784481,-0.008565066,-0.008667939,-0.031442303,XArbitraryCorrectedZVertical,-0.10568425,0.435302784,0.060472296,0.892012011,0.789372563,0.135895729,-0.598684669,20.886446,11.60003853,-11.35514832,2,415056.622,unknown,2,00:51.8,55:13.7,58,42.18,0,0,01:24.3,415090.3037,0,-0.8875046,100.3845,0.0.0.0,21.117.122.86,1,1,0.97,0
01:25.8,920,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821285,40.81048931,-73.95994082,50.58844,0.35,141.328125,16,30,415093.764,1.016830444,0.314483643,-0.553939819,415093.7328,-0.643242087,0.760960731,-1.715719961,415093.7278,0.179305795,0.958206524,-0.206928929,-0.585407019,0.776999235,-1.784754276,0.244321287,0.109486088,-0.102775075,XArbitraryCorrectedZVertical,-0.13233591,0.448471105,0.031608178,0.883380891,0.8007074,0.205455318,-0.562721729,20.64199257,13.08695793,-10.11848068,2,415056.622,unknown,2,00:51.8,55:13.7,58,42.18,0,0,01:24.3,415090.3037,0,-0.8875046,100.3845,0.0.0.0,21.117.122.86,1,1,0.97,0
01:25.9,921,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821285,40.81048931,-73.95994082,50.58844,0.35,141.328125,16,30,415093.8224,0.883972168,0.445861816,-0.528991699,415093.8027,-0.550330788,0.674524908,-0.906357076,415093.7977,0.154327193,0.984125504,-0.311677992,-0.498370528,0.542693496,-0.968506515,0.169600174,0.108489662,-0.017346004,XArbitraryCorrectedZVertical,-0.172366008,0.45478576,-0.005991384,0.873741366,0.792664826,0.306656212,-0.526919723,19.21581841,16.12324905,-8.398639679,2,415056.622,unknown,2,00:51.8,55:13.7,58,42.18,0,0,01:24.3,415090.3037,0,-0.8875046,100.3845,0.0.0.0,21.117.122.86,1,1,0.97,0
01:25.9,922,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821285,40.81048931,-73.95994082,50.58844,0.35,141.328125,16,30,415093.8809,0.967300415,0.48387146,-0.534347534,415093.8726,-0.4020292,0.512960246,-0.410281804,415093.8676,0.151194966,1.014490024,-0.367408062,-0.350007653,0.387445599,-0.459587634,0.146413311,0.104623728,-0.022676066,XArbitraryCorrectedZVertical,-0.19528625,0.464173973,-0.023578575,0.863625992,0.792536259,0.359197676,-0.49281162,18.26115799,17.83511734,-6.941380978,2,415056.622,unknown,2,00:51.8,55:13.7,58,42.18,0,0,01:24.3,415090.3037,0,-0.8875046,100.3845,0.0.0.0,21.117.122.86,1,1,0.97,0
01:26.0,923,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821285,40.81048931,-73.95994082,50.58844,0.35,141.328125,16,30,415093.9394,0.847320557,0.414627075,-0.554977417,415093.9076,-0.152962652,0.261309366,-0.03954741,415093.9026,0.154611111,1.026092543,-0.377575528,-0.116696827,0.17285198,-0.045976464,0.180901036,0.103881575,-0.094567053,XArbitraryCorrectedZVertical,-0.200251216,0.468045428,-0.02574866,0.860331294,0.795035839,0.368667871,-0.48166585,18.17578697,18.05004692,-6.601552486,2,415056.622,unknown,2,00:51.8,55:13.7,58,42.18,0,0,01:24.3,415091.3154,0,-1.083031,100.3868,0.0.0.0,21.117.122.86,1,1,0.97,0
01:26.0,924,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821285,40.81048931,-73.95994082,50.58844,0.35,141.328125,16,30,415093.9979,0.938049316,0.393966675,-0.560302734,415093.9775,0.005418468,0.389046556,0.251521184,415093.9725,0.156053576,1.033773908,-0.372045908,0.07026168,0.244212568,0.227774948,0.019845612,0.042178553,-0.05096174,XArbitraryCorrectedZVertical,-0.198156237,0.471639607,-0.024525163,0.858888062,0.800451636,0.363522142,-0.476580381,18.23339272,18.03342056,-6.487149715,2,415056.622,unknown,2,00:51.8,55:13.7,58,42.18,0,0,01:24.3,415091.3154,0,-1.083031,100.3868,0.0.0.0,21.117.122.86,1,1,0.97,0
01:26.1,925,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821286,40.81047979,-73.95994518,50.83289,0.5,177.5390625,16,30,415094.0563,0.942108154,0.383514404,-0.56678772,415094.0474,0.280807966,0.041618284,0.614394726,415094.0424,0.161019253,1.047635174,-0.337456346,0.33196348,-0.053178549,0.590848029,0.138270095,0.059796426,-0.093361795,XArbitraryCorrectedZVertical,-0.184596476,0.479794747,-0.015073757,0.857609423,0.817387879,0.331087977,-0.471442282,18.68139076,17.62599945,-6.330388069,2,415056.622,unknown,2,00:51.8,55:13.7,62,45.06,0,0,01:26.8,415091.3154,0,-1.083031,100.3868,0.0.0.0,21.117.122.86,1,1,0.97,0
01:26.1,926,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821286,40.81047979,-73.95994518,50.83289,0.5,177.5390625,16,30,415094.1148,0.999786377,0.355239868,-0.577056885,415094.0823,0.438314237,0.022065089,0.798051641,415094.0773,0.16075905,1.043414741,-0.307969437,0.494682372,-0.123916045,0.795664191,0.08868365,0.080954745,-0.067662485,XArbitraryCorrectedZVertical,-0.172085224,0.480197547,-0.007402369,0.860082669,0.823471487,0.303124249,-0.479593992,19.30837059,16.78059387,-6.733682632,2,415056.622,unknown,2,00:51.8,55:13.7,62,45.06,0,0,01:26.8,415091.3154,0,-1.083031,100.3868,0.0.0.0,21.117.122.86,1,1,0.97,0
01:26.2,927,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821286,40.81047979,-73.95994518,50.83289,0.5,177.5390625,16,30,415094.1733,1.109832764,0.25289917,-0.702896118,415094.1522,0.705015173,-0.017255686,1.439895568,415094.1472,0.163548867,1.040398951,-0.216689323,0.748619258,-0.132241204,1.417335868,0.196842402,0.059324957,-0.117983989,XArbitraryCorrectedZVertical,-0.133878364,0.484823231,0.016894502,0.8641398,0.842433691,0.214997545,-0.494046032,20.30734825,15.27644539,-7.347503185,2,415056.622,unknown,2,00:51.8,55:13.7,62,45.06,0,0,01:26.8,415091.3154,0,-1.083031,100.3868,0.0.0.0,21.117.122.86,1,1,0.97,0
01:26.3,928,CEDEEB1A-3C68-40D6-9507-F36E84055F9B,1481821286,40.81047979,-73.95994518,50.83289,0.5,177.5390625,16,30,415094.2317,1.161361694,0.121536255,-0.651550293,415094.2222,0.986888138,-0.630082342,2.512069841,415094.2172,0.176866862,1.012881144,-0.067181291,1.043400645,-0.700299501,2.4640522,0.355701476,0.107918061,-0.17302376,XArbitraryCorrectedZVertical,-0.07207009,0.480305841,0.060961628,0.872006813,0.846446931,0.067130767,-0.528224409,21.56144714,12.81825924,-8.398820877,2,415056.622,unknown,2,00:51.8,55:13.7,62,45.06,0,0,01:26.8,415091.3154,0,-1.083031,100.3868,0.0.0.0,21.117.122.86,1,1,0.97,0
